sectioncode,Municipio,Mesa,sec,dis,Votos Totales,Votos Blancos,Votos Nulos,IZQESP,CEUS,FO,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),JUNTS UE,PSOE,ANDALUCISTAS,IE,VOX,PP,ESCAÑOS EN BLANCO,CRT,PODEMOS,PFAC,PCTE,PCPE/PCPC,SUMAR ANDALUCÍA,PACMA,CREE EN EUROPA,PMR,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",F,EXISTE,Cs,FE de las JONS,SAE,J.U.E.X.,PH,VOLT,RECORTES CERO,EXTREMEÑOS,GLG,PIRATAS / REBELDES,PREPAL,max,p_ganador,ganador,%blanco,%nulo,IZQESP,CEUS,FO,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),JUNTS UE,PSOE,ANDALUCISTAS,IE,VOX,PP,ESCAÑOS EN BLANCO,CRT,PODEMOS,PFAC,PCTE,PCPE/PCPC,SUMAR ANDALUCÍA,PACMA,CREE EN EUROPA,PMR,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",F,EXISTE,Cs,FE de las JONS,SAE,J.U.E.X.,PH,VOLT,RECORTES CERO,EXTREMEÑOS,GLG,PIRATAS / REBELDES,PREPAL,Distrito
2900701010,Alhaurín de la Torre,1010,10,1,1008,6,4,1,0,2,1,0,233,5,3,158,369,1,0,35,0,0,1,47,14,2,0,107,1,0,10,0,1,0,2,2,1,2,0,0,0,369,10,PP,"0,6","0,4","0,1",0,"0,2","0,1",0,"23,1","0,5","0,3","15,7","36,6","0,1",0,"3,5",0,0,"0,1","4,7","1,4","0,2",0,"10,6","0,1",0,1,0,"0,1",0,"0,2","0,2","0,1","0,2",0,0,0,"Sección 10,Distrito 1"
2900701011,Alhaurín de la Torre,1011,11,1,798,8,6,3,0,2,0,0,249,3,1,87,290,0,0,39,0,1,26,19,4,0,0,51,0,1,3,0,0,0,0,4,0,0,0,1,0,290,10,PP,1,"0,8","0,4",0,"0,3",0,0,"31,2","0,4","0,1","10,9","36,3",0,0,"4,9",0,"0,1","3,3","2,4","0,5",0,0,"6,4",0,"0,1","0,4",0,0,0,0,"0,5",0,0,0,"0,1",0,"Sección 11,Distrito 1"
2900701012,Alhaurín de la Torre,1012,12,1,543,7,5,2,0,2,0,0,136,0,1,57,214,0,0,13,0,1,0,32,5,0,0,57,0,0,9,0,0,1,0,0,1,0,0,0,0,214,10,PP,"1,3","0,9","0,4",0,"0,4",0,0,25,0,"0,2","10,5","39,4",0,0,"2,4",0,"0,2",0,"5,9","0,9",0,0,"10,5",0,0,"1,7",0,0,"0,2",0,0,"0,2",0,0,0,0,"Sección 12,Distrito 1"
2900701013,Alhaurín de la Torre,1013,13,1,572,8,5,1,1,2,0,0,142,3,2,63,238,0,0,16,0,0,0,20,7,0,0,58,0,1,4,0,0,0,0,1,0,0,0,0,0,238,10,PP,"1,4","0,9","0,2","0,2","0,3",0,0,"24,8","0,5","0,3",11,"41,6",0,0,"2,8",0,0,0,"3,5","1,2",0,0,"10,1",0,"0,2","0,7",0,0,0,0,"0,2",0,0,0,0,0,"Sección 13,Distrito 1"
2900701014,Alhaurín de la Torre,1014,14,1,777,5,5,1,1,2,0,0,188,8,2,138,271,0,0,6,0,0,1,32,8,0,1,97,0,0,10,0,0,0,0,1,0,0,0,0,0,271,10,PP,"0,6","0,6","0,1","0,1","0,3",0,0,"24,2",1,"0,3","17,8","34,9",0,0,"0,8",0,0,"0,1","4,1",1,0,"0,1","12,5",0,0,"1,3",0,0,0,0,"0,1",0,0,0,0,0,"Sección 14,Distrito 1"
2900701015,Alhaurín de la Torre,1015,15,1,662,5,6,0,0,1,0,0,138,3,3,73,316,0,0,17,1,0,0,31,6,2,0,48,0,0,11,0,0,1,0,0,0,0,0,0,0,316,10,PP,"0,8","0,9",0,0,"0,2",0,0,"20,8","0,5","0,5",11,"47,7",0,0,"2,6","0,2",0,0,"4,7","0,9","0,3",0,"7,3",0,0,"1,7",0,0,"0,2",0,0,0,0,0,0,0,"Sección 15,Distrito 1"
2900701016,Alhaurín de la Torre,1016,16,1,861,7,7,4,0,2,0,0,186,2,1,112,351,1,0,25,0,0,1,38,16,2,0,89,0,0,16,0,0,0,0,1,0,0,0,0,0,351,10,PP,"0,8","0,8","0,5",0,"0,2",0,0,"21,6","0,2","0,1",13,"40,8","0,1",0,"2,9",0,0,"0,1","4,4","1,9","0,2",0,"10,3",0,0,"1,9",0,0,0,0,"0,1",0,0,0,0,0,"Sección 16,Distrito 1"
2900701017,Alhaurín de la Torre,1017,17,1,709,4,3,5,0,3,0,0,164,4,3,97,311,0,0,13,1,1,0,22,4,0,1,68,0,0,4,0,0,0,0,1,0,0,0,0,0,311,10,PP,"0,6","0,4","0,7",0,"0,4",0,0,"23,1","0,6","0,4","13,7","43,9",0,0,"1,8","0,1","0,1",0,"3,1","0,6",0,"0,1","9,6",0,0,"0,6",0,0,0,0,"0,1",0,0,0,0,0,"Sección 17,Distrito 1"
2900701018,Alhaurín de la Torre,1018,18,1,747,3,3,1,0,1,2,0,190,3,3,70,338,0,1,16,1,0,0,32,3,0,0,70,0,1,5,0,1,0,1,2,0,0,0,0,0,338,10,PP,"0,4","0,4","0,1",0,"0,1","0,3",0,"25,4","0,4","0,4","9,4","45,2",0,"0,1","2,1","0,1",0,0,"4,3","0,4",0,0,"9,4",0,"0,1","0,7",0,"0,1",0,"0,1","0,3",0,0,0,0,0,"Sección 18,Distrito 1"
2900701019,Alhaurín de la Torre,1019,19,1,715,6,8,1,0,1,0,0,175,2,0,111,248,4,0,15,1,1,0,36,15,0,1,75,0,0,8,0,0,1,0,4,0,0,0,1,1,248,10,PP,"0,8","1,1","0,1",0,"0,1",0,0,"24,5","0,3",0,"15,5","34,7","0,6",0,"2,1","0,1","0,1",0,5,"2,1",0,"0,1","10,5",0,0,"1,1",0,0,"0,1",0,"0,6",0,0,0,"0,1","0,1","Sección 19,Distrito 1"
